,LoanID,Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,Default
96230,BAAZ3N0MQ2,27,52584,60095,767,110,3,2.1,60,0.9,Bachelor's,Full-time,Married,0,Yes,Home,0,0
73292,MA13MARGJ5,35,52120,110208,719,86,2,17.15,12,0.86,PhD,Part-time,Divorced,1,Yes,Education,1,0
45552,NLXKBIUR0W,55,97782,85908,629,26,1,18.67,12,0.42,High School,Self-employed,Divorced,1,Yes,Education,0,0
121878,J2YSSCJ9OY,19,59024,24842,482,114,4,16.79,12,0.41,High School,Full-time,Married,1,No,Education,0,0
192411,LAXP6SKZDF,46,136634,171566,477,4,2,2.81,48,0.31,High School,Unemployed,Single,1,Yes,Education,0,0
236969,NSDAO92MO4,53,131151,88313,704,92,4,22.44,12,0.18,Bachelor's,Self-employed,Single,0,Yes,Other,1,0
22423,19239SM1FF,33,33494,167560,673,31,2,19.08,36,0.57,PhD,Full-time,Single,1,Yes,Home,1,0
64368,HPV4AHZ2S0,23,70102,246597,500,103,4,18.1,48,0.55,Bachelor's,Unemployed,Married,0,Yes,Business,0,0
126913,CBVI64OENG,62,67905,38567,746,52,4,6.97,12,0.51,Bachelor's,Full-time,Married,1,Yes,Business,0,0
107633,0R5XIE25R1,62,81669,91831,363,20,3,11.99,60,0.25,High School,Self-employed,Married,1,Yes,Other,0,0
182979,RY56X5J81J,22,35190,20062,349,55,3,7.8,24,0.86,High School,Unemployed,Divorced,0,Yes,Auto,1,0
90653,F13G91XWN4,51,47405,138347,640,50,2,23.68,12,0.24,Bachelor's,Unemployed,Single,0,Yes,Auto,0,0
233675,TDB754WYAM,69,117015,197114,765,81,3,12.64,60,0.15,PhD,Part-time,Divorced,1,Yes,Business,1,0
228336,BRLSEQ5URW,67,16725,30681,538,106,3,16.45,48,0.87,Master's,Part-time,Married,1,Yes,Auto,0,0
53051,39G0VUX9DF,27,95787,197190,417,66,1,3.87,60,0.44,Bachelor's,Full-time,Divorced,1,No,Other,1,0
166984,XNS13VUI2S,65,85742,116372,460,12,4,18.17,24,0.32,Bachelor's,Unemployed,Single,0,No,Business,0,0
126329,9GGHEKVF3J,50,134995,40368,542,66,3,5.83,36,0.28,High School,Part-time,Married,0,No,Home,1,0
154389,BL55CPAATP,62,56828,145857,622,40,3,17.25,36,0.87,High School,Full-time,Married,0,Yes,Other,0,0
23793,OZXCTO7V1Y,27,59431,240803,329,39,3,9.52,24,0.29,Bachelor's,Part-time,Single,1,Yes,Other,0,0
45198,8C5V2U8KL2,25,130844,214396,776,110,4,23.32,60,0.73,Bachelor's,Part-time,Single,1,No,Business,0,0
55752,KIWX199YNO,24,148892,171859,543,38,4,4.78,12,0.81,Bachelor's,Part-time,Single,0,Yes,Home,1,1
49856,9XEMQEAVWP,61,68513,166722,341,89,1,8.21,36,0.59,Bachelor's,Unemployed,Married,1,No,Other,0,0
51798,GXXRW46RVJ,48,123843,179587,318,59,4,2.47,60,0.4,High School,Part-time,Married,1,No,Auto,0,0
174264,OUBIARL25R,30,105484,161343,612,83,4,13.54,60,0.82,High School,Full-time,Single,1,No,Other,1,0
124523,IJ1S1F9LC1,47,103212,180101,369,95,1,6.83,48,0.11,Bachelor's,Unemployed,Divorced,0,No,Home,0,0
190925,ISK4EXVKG9,47,22350,138927,790,2,1,10.45,48,0.64,Master's,Part-time,Married,1,No,Education,0,0
238349,5IVBCCEGRJ,32,78542,156411,396,54,4,3.56,24,0.8,Master's,Part-time,Married,1,Yes,Auto,1,0
27062,FCQVHGYYFE,34,130689,167565,686,96,2,3.29,60,0.29,Master's,Self-employed,Divorced,0,Yes,Other,0,0
46258,LP7OWM076A,30,79941,247022,419,109,1,24.02,24,0.18,PhD,Full-time,Single,1,No,Education,1,1
229996,ECDCDL6Z0J,56,54171,202241,534,37,2,5.01,24,0.4,Master's,Full-time,Married,1,Yes,Education,1,0
158452,BOK2ZLAQPI,45,59980,195809,616,77,1,22.49,60,0.59,PhD,Unemployed,Single,0,Yes,Business,0,0
131808,R2IHY61WCE,26,57302,99121,541,63,2,3.57,60,0.59,Master's,Full-time,Divorced,0,No,Business,1,0
